Keywords,Your actual rank (1-30+),Your URL that's ranking,Your page title in search results,Top ranking domain (competitor),Top result's title,Total search results,Timestamp
agendar consulta coloproctologista curitiba,,https://www.analuizarocha.com.br/,Dra. Ana Luiza M. Rocha | Coloproctologista Curitiba,,,,3/10/2026
ana luiza moraes rocha,,https://www.analuizarocha.com.br/sobre,Sobre a Dra. Ana Luiza M. Rocha | Especialista em Coloproctologia,,,,3/10/2026
ana luiza rocha coloproctologista,,https://www.analuizarocha.com.br/sobre,Sobre a Dra. Ana Luiza M. Rocha | Especialista em Coloproctologia,,,,3/10/2026
anuscopia alta resolução curitiba,,https://www.analuizarocha.com.br/tratamentos/rastreio-cancer-anal,Rastreio de Câncer Anal e HPV,,,,3/10/2026
botox fissura anal curitiba,,https://www.analuizarocha.com.br/tratamentos/toxina-botulinica,Toxina Botulínica para Fissura Anal,,,,3/10/2026
cirurgia cisto pilonidal curitiba,,https://www.analuizarocha.com.br/tratamentos/cx-cisto-pilonidal,Cisto Pilonidal: Cirurgia e Recuperação,,,,3/10/2026
cirurgia coccix curitiba,,https://www.analuizarocha.com.br/tratamentos/cx-cisto-pilonidal,Cisto Pilonidal: Cirurgia e Recuperação,,,,3/10/2026
cirurgia colorretal curitiba,,https://www.analuizarocha.com.br/,Dra. Ana Luiza M. Rocha | Coloproctologista Curitiba,,,,3/10/2026
cirurgia fistula anal curitiba,,https://www.analuizarocha.com.br/tratamentos/cx-fistulas-anorretais,Fístula Anal: Cirurgia Especializada,,,,3/10/2026
cirurgia hemorroidas curitiba,,https://www.analuizarocha.com.br/tratamentos,Tratamentos de Coloproctologia em Curitiba,,,,3/10/2026
cirurgia hemorroidas laser curitiba,,https://www.analuizarocha.com.br/tratamentos/hemorroidas,Hemorroidas: Tratamento em Curitiba,,,,3/10/2026
cirurgia laser curitiba,,https://www.analuizarocha.com.br/tratamentos,Tratamentos de Coloproctologia em Curitiba,,,,3/10/2026
cirurgia laser hemorroidas curitiba,,https://www.analuizarocha.com.br/tratamentos/cx-laser,Cirurgia a Laser Proctológica,,,,3/10/2026
cirurgia minimamente invasiva curitiba,,https://www.analuizarocha.com.br/tratamentos/cx-laser,Cirurgia a Laser Proctológica,,,,3/10/2026
cirurgias a laser proctologia curitiba,,https://www.analuizarocha.com.br/,Dra. Ana Luiza M. Rocha | Coloproctologista Curitiba,,,,3/10/2026
cisto pilonidal curitiba,,https://www.analuizarocha.com.br/tratamentos,Tratamentos de Coloproctologia em Curitiba,,,,3/10/2026
cisto pilonidal laser curitiba,,https://www.analuizarocha.com.br/tratamentos/cx-cisto-pilonidal,Cisto Pilonidal: Cirurgia e Recuperação,,,,3/10/2026
cisto sacrococcigeo curitiba,,https://www.analuizarocha.com.br/tratamentos/cx-cisto-pilonidal,Cisto Pilonidal: Cirurgia e Recuperação,,,,3/10/2026
citologia anal curitiba,,https://www.analuizarocha.com.br/tratamentos/rastreio-cancer-anal,Rastreio de Câncer Anal e HPV,,,,3/10/2026
clínica nassif batel curitiba,,https://www.analuizarocha.com.br/,Dra. Ana Luiza M. Rocha | Coloproctologista Curitiba,,,,3/10/2026
coloproctologia curitiba,,https://www.analuizarocha.com.br/tratamentos,Tratamentos de Coloproctologia em Curitiba,,,,3/10/2026
coloproctologista curitiba batel,,https://www.analuizarocha.com.br/,Dra. Ana Luiza M. Rocha | Coloproctologista Curitiba,,,,3/10/2026
coloproctologista SII curitiba,,https://www.analuizarocha.com.br/tratamentos/sindrome-intestino-irritavel,Síndrome do Intestino Irritável (SII),,,,3/10/2026
condiloma anal curitiba,,https://www.analuizarocha.com.br/tratamentos/hpv-anal,HPV Anal: Condilomas e Tratamento,,,,3/10/2026
consulta coloproctologista curitiba,,https://www.analuizarocha.com.br/,Dra. Ana Luiza M. Rocha | Coloproctologista Curitiba,,,,3/10/2026
consultório médico coloproctologia curitiba,,https://www.analuizarocha.com.br/,Dra. Ana Luiza M. Rocha | Coloproctologista Curitiba,,,,3/10/2026
crm pr 45351,,https://www.analuizarocha.com.br/sobre,Sobre a Dra. Ana Luiza M. Rocha | Especialista em Coloproctologia,,,,3/10/2026
crm pr 45351 rqe 36221,,https://www.analuizarocha.com.br/sobre,Sobre a Dra. Ana Luiza M. Rocha | Especialista em Coloproctologia,,,,3/10/2026
